ID,Airline,Airport,Code,Latitude,Longitude
1,AAL,Dallas Fort Worth,DFW,32.896887,-97.040021
2,AAL,Charlotte Douglas Intl,CLT,35.21689,-80.943223
3,AAL,Chicago O'Hare Intl,ORD,41.980049,-87.90155
4,AAL,Philadelphia Intl,PHL,39.878796,-75.243743
5,AAL,Phoenix Sky Harbor Intl,PHX,33.436735,-112.013487
6,AAL,Miami Intl,MIA,25.793952,-80.286041
7,AAL,Reagan National,DCA,38.852102,-77.041103
8,AAL,Los Angeles Intl,LAX,33.940271,-118.412396
9,AAL,John F Kennedy Intl,JFK,40.64749,-73.78783
10,DAL,Hartsfield Jackson Intl,ATL,33.63977,-84.429369
11,DAL,Detroit Metro Wayne Co,DTW,42.210743,-83.352617
12,DAL,Cincinnati Northern KY Intl,CVG,39.047038,-84.667449
13,DAL,John F Kennedy Intl,JFK,40.64749,-73.78783
14,DAL,LaGuardia,LGA,40.777279,-73.874649
15,DAL,Boston Logan Intl,BOS,42.365612,-71.00956
16,DAL,Los Angeles Intl,LAX,33.940271,-118.412396
17,DAL,Minneapolis St. Paul Intl,MSP,44.883343,-93.214894
18,DAL,Salt Lake City Intl,SLC,40.790208,-111.981359
19,DAL,Seattle Tacoma Intl,SEA,47.448437,-122.311654
20,SWA,Chicago Midway Intl,MDW,41.785212,-87.752305
21,SWA,Baltimore Washington Intl,BWI,39.178376,-76.669428
22,SWA,McCarran Intl,LAS,36.079288,-115.159683
23,SWA,Dallas Love Field,DAL,32.851589,-96.859039
24,SWA,Denver Intl,DEN,39.859725,-104.679545
25,SWA,Phoenix Sky Harbor Intl,PHX,33.436735,-112.013487
26,SWA,William P Hobby,HOU,29.64537,-95.276984
27,SWA,Hartsfield Jackson Intl,ATL,33.63977,-84.429369
28,SWA,Orlando Intl,MCO,28.430809,-81.309142
29,SWA,Los Angeles Intl,LAX,33.940271,-118.412396
30,UAL,Chicago O'Hare Intl,ORD,41.980049,-87.90155
31,UAL,Houston Bush Intercontinental,IAH,29.985753,-95.344208
32,UAL,Denver Intl,DEN,39.859725,-104.679545
33,UAL,Los Angeles Intl,LAX,33.940271,-118.412396
34,UAL,Newark Liberty Intl,EWR,40.690453,-74.178595
35,UAL,San Francisco Intl,SFO,37.618672,-122.376387
36,UAL,Washington Dulles Intl,IAD,38.936922,-77.457066
