Airline,CY,Passengers
American,2017,199640000
American,2016,198714575
American,2015,201249127
American,2014,197340801
American,2013,193739412
Delta,2017,186389862
Delta,2016,183741787
Delta,2015,179382874
Delta,2014,171350030
Delta,2013,164656327
Southwest,2017,157677218
Southwest,2016,151740357
Southwest,2015,144574882
Southwest,2014,135767188
Southwest,2013,133155030
United,2017,148067000
United,2016,143177000
United,2015,140369000
United,2014,138029000
United,2013,139209000
